#,fault_id,created,message,updated,url
3387,27943,2022-03-13 23:34:12.572000,java.net.UnknownHostException: www.matchmoney.com.gr,,zakynthos-kifisia-13-3-22-14-00-prognostika-stoichimatos
3388,27944,2022-03-13 23:34:12.587000,java.net.UnknownHostException: www.matchmoney.com.gr,,loyton-kpr-13-3-22-14-00-prognostika-stoichimatos
3389,27945,2022-03-13 23:34:12.603000,java.net.UnknownHostException: www.matchmoney.com.gr,,saoythampton-goyotfornt-13-3-22-16-00-prognostika-stoichimatos
3390,27946,2022-03-13 23:34:12.619000,java.net.UnknownHostException: www.matchmoney.com.gr,,anze-rems-13-3-22-16-00-prognostika-stoichimatos
3391,27947,2022-03-13 23:34:12.638000,java.net.UnknownHostException: www.matchmoney.com.gr,,leverkoyzen-kolonia-13-3-22-16-30-prognostika-stoichimatos
3392,27948,2022-03-13 23:34:12.663000,java.net.UnknownHostException: www.matchmoney.com.gr,,alkorkon-oyeska-13-3-22-19-15-prognostika-stoichimatos
3393,27949,2022-03-13 23:34:12.683000,java.net.UnknownHostException: www.matchmoney.com.gr,,mpetis-athl-mpilmpao-13-3-22-17-15-prognostika-stoichimatos
3394,27950,2022-03-13 23:34:12.702000,java.net.UnknownHostException: www.matchmoney.com.gr,,niki-voloy-thesprotos-13-3-22-14-45-prognostika-stoichimatos
3395,27951,2022-03-13 23:34:12.722000,java.net.UnknownHostException: www.matchmoney.com.gr,,oyntineze-roma-13-3-22-19-00-prognostika-stoichimatos
3396,27952,2022-03-13 23:34:12.736000,java.net.UnknownHostException: www.matchmoney.com.gr,,aintracht-fr-mpochoym-13-3-22-18-30-prognostika-stoichimatos
3397,27953,2022-03-13 23:34:12.754000,java.net.UnknownHostException: www.matchmoney.com.gr,,adelai-da-nioykastl-13-3-22-10-15-prognostika-stoichimatos
3398,27954,2022-03-13 23:34:12.771000,java.net.UnknownHostException: www.matchmoney.com.gr,,cherakles-fitese-13-3-22-15-30-prognostika-stoichimatos
3399,27955,2022-03-13 23:34:12.790000,java.net.UnknownHostException: www.matchmoney.com.gr,,mets-lans-13-3-22-16-00-prognostika-stoichimatos
3400,27956,2022-03-13 23:34:12.812000,java.net.UnknownHostException: www.matchmoney.com.gr,,mintilant-kopegchagi-13-3-22-19-00-prognostika-stoichimatos
3401,27957,2022-03-13 23:34:12.842000,java.net.UnknownHostException: www.matchmoney.com.gr,,vimporgk-veile-13-3-22-15-00-prognostika-stoichimatos
3402,27958,2022-03-13 23:34:12.855000,java.net.UnknownHostException: www.matchmoney.com.gr,,mprontmpi-aarchoys-13-3-22-17-00-prognostika-stoichimatos
3403,27959,2022-03-13 23:34:12.872000,java.net.UnknownHostException: www.matchmoney.com.gr,,oytrechti-aintchofen-13-3-22-15-30-prognostika-stoichimatos
3404,27960,2022-03-13 23:34:12.905000,java.net.UnknownHostException: www.matchmoney.com.gr,,oyral-achmat-13-3-22-11-00-prognostika-stoichimatos
3405,27961,2022-03-13 23:34:12.922000,java.net.UnknownHostException: www.matchmoney.com.gr,,giagkelonia-visla-plok-13-3-22-13-30-prognostika-stoichimatos
3406,27962,2022-03-13 23:34:12.943000,java.net.UnknownHostException: www.matchmoney.com.gr,,piza-kremoneze-13-3-22-16-30-prognostika-stoichimatos
3407,27963,2022-03-13 23:34:12.963000,java.net.UnknownHostException: www.matchmoney.com.gr,,almopos-ar-kavala-13-3-22-14-45-prognostika-stoichimatos
3408,27964,2022-03-13 23:34:12.989000,java.net.UnknownHostException: www.matchmoney.com.gr,,strasvoyrgo-monako-13-3-22-16-00-prognostika-stoichimatos
3409,27965,2022-03-13 23:34:13.010000,java.net.UnknownHostException: www.matchmoney.com.gr,,fiorentina-mpolonia-13-3-22-13-30-prognostika-stoichimatos
3410,27966,2022-03-13 23:34:13.028000,java.net.UnknownHostException: www.matchmoney.com.gr,,loykerni-gkraschopers-13-3-22-17-30-prognostika-stoichimatos
3411,27967,2022-03-13 23:34:13.049000,java.net.UnknownHostException: www.matchmoney.com.gr,,alaniaspor-fenermpachtse-13-3-22-18-00-prognostika-stoichimatos
3412,27968,2022-03-13 23:34:13.073000,java.net.UnknownHostException: www.matchmoney.com.gr,,ntemirspor-sivaspor-13-3-22-15-00-prognostika-stoichimatos
3413,27969,2022-03-13 23:34:13.094000,java.net.UnknownHostException: www.matchmoney.com.gr,,slask-rantomiak-13-3-22-16-00-prognostika-stoichimatos
3414,27970,2022-03-13 23:34:13.129000,java.net.UnknownHostException: www.matchmoney.com.gr,,karlsroyi-regkensmpoyrgk-13-3-22-14-30-prognostika-stoichimatos
3415,27971,2022-03-13 23:34:13.181000,java.net.UnknownHostException: www.matchmoney.com.gr,,gkangkvon-soyon-siti-13-3-22-09-30-prognostika-stoichimatos
3416,27972,2022-03-13 23:34:13.203000,java.net.UnknownHostException: www.matchmoney.com.gr,,ergotelis-karaiskakis-13-3-22-14-45-prognostika-stoichimatos
3417,27973,2022-03-13 23:34:13.254000,java.net.UnknownHostException: www.matchmoney.com.gr,,visla-kr-lech-poznan-13-3-22-18-30-prognostika-stoichimatos
3418,27979,2022-03-13 23:34:50.098000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
3419,27987,2022-03-13 23:34:50.263000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/panathinaikos-aek-me-enischymenes-apodoseis-kai-0-gkaniota/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Πα"
3420,27994,2022-03-13 23:34:51.171000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
3421,27995,2022-03-13 23:34:51.218000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/panathinaikos-aek-me-enischymenes-apodoseis-kai-0-gkaniota/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Πα"
3422,28001,2022-03-13 23:34:52.123000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
3423,28009,2022-03-13 23:34:52.324000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/panathinaikos-aek-me-enischymenes-apodoseis-kai-0-gkaniota/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Πα"
3424,28021,2022-03-13 23:34:54.235000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
3425,28030,2022-03-13 23:34:54.406000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/panathinaikos-aek-me-enischymenes-apodoseis-kai-0-gkaniota/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Πα"
3426,28036,2022-03-13 23:34:55.147000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-panathinaikos-aek-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title""> Παναθ"
