#,competition_id,code,fetch_status,label,name,name_gr,rank,nobet_count,overall_match_count,overall_rating,overall_score,overall_tip_count,tipsdnb,tips_lost,tips_won,unknown_count,season,type,country,overall_coefficient,new_coefficient
94,81,greece-a,PARTLY_FETCHED,"",Чемпионат Греции. Лига 1 (Суперлига),ΕΛΛΑΔΑ - ΣΟΥΠΕΡ ΛΙΓΚ,35,134,410,324,201.27035421933812,269,3,133,133,7,_2021_2022,LEAGUE,14091,74.73035421933814,119.41903168787242
95,1351,world-cup,PARTLY_FETCHED,"",Чемпионат Мира,ΔΙΕΘΝΗ - ΜΟΥΝΤΙΑΛ,82,145,479,105,151.08801514116124,260,0,146,114,74,_2021_2022,INTERNATIONAL,2929,70.78566189988514,54.35569328297836
96,1363,friendly-international,PARTLY_FETCHED,,Товарищеские матчи сборные,ΦΙΛΙΚΑ ΕΘΝΙΚΩΝ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,FRIENDLY,2929,0,0
97,1500,romania-a,PARTLY_FETCHED,,Чемпионат Румынии,ΡΟΥΜΑΝΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,49,0,0
98,854,scotland-league1,PARTLY_FETCHED,,Чемпионат Шотландии. Лига 1,ΣΚΩΤΙΑ - ΛΙΓΚ 1,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,18,0,0
99,1403,iceland-a,PARTLY_FETCHED,,Чемпионат Исландии,ΙΣΛΑΝΔΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,41,0,0
100,642,ireland-league-cup,PARTLY_FETCHED,,Кубок Ирландии. Лиг куп,ΛΙΓΚ ΚΑΠ ΙΡΛΑΝΔΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,CUP,11,0,0
101,1263,australia-a-league,PARTLY_FETCHED,"",Чемпионат Австралии.,ΑΥΣΤΡΑΛΙΑ - Α ΑΥΣΤΡΑΛΙΑΣ,16,64,315,504,153.65489258017075,248,3,141,104,3,_2021_2022,LEAGUE,34,80.29527318717025,208.03027486477734
102,732,netherlands-knvb-beker,PARTLY_FETCHED,"",Кубок Голландии,ΟΛΛΑΝΔΙΑ - ΚΥΠΕΛΛΟ ΟΛΛΑΝΔΙΑΣ,37,18,57,323,276.9317924783155,39,0,15,24,0,_2021_2022,CUP,2270,7.980777487684697,24.82680854921695
103,913,sweden-cupen,PARTLY_FETCHED,"",Кубок Швеции,ΣΟΥΗΔΙΑ - ΚΥΠΕΛΛΟ ΣΟΥΗΔΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,CUP,19,0,0
104,1660,saudi-professional-league,PARTLY_FETCHED,,Чемпионат Саудовской Аравии,ΣΑΟΥΔΙΚΗ ΑΡΑΒΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,59,0,0
105,487,france-national,PARTLY_FETCHED,,Чемпионат Франции. Националь,Γ ΓΑΛΛΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,6,0,0
106,79,champions-league,PARTLY_FETCHED,"",Лига Чемпионов УЕФА,ΔΙΕΘΝΗ - ΤΣΑΜΠΙΟΝΣ ΛΙΓΚ,87,72,268,59,155.11283830343717,193,3,110,80,3,_2021_2022,INTERNATIONAL,2929,71.13587496680084,36.19884205018741
107,877,scotland-league-cup,PARTLY_FETCHED,"",Кубок Шотландии. LEAGUE CUP,ΣΚΩΤΙΑ - ΛΙΓΚ ΚΑΠ,1,1,13,2248,2264.0429207920793,12,0,0,12,0,_2021_2022,CUP,18,8.45,2.83
108,1452,a-lithoyanias,PARTLY_FETCHED,,Чемпионат Литвы,ΛΙΘΟΥΑΝΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,45,0,0
109,1388,bulgaria-a,PARTLY_FETCHED,,Чемпионат Болгарии,ΒΟΥΛΓΑΡΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,40,0,0
110,445,france-ligue-1,PARTLY_FETCHED,"",Чемпионат Франции. Первая лига,ΓΑΛΛΙΑ - Α ΓΑΛΛΙΑΣ,73,214,594,142,146.97780262321567,371,1,226,144,9,_2021_2022,LEAGUE,6,127.11087693712254,125.50248070687319
111,506,france-coupe,PARTLY_FETCHED,"",Кубок Франции,ΓΑΛΛΙΑ - ΚΥΠΕΛΛΟ ΓΑΛΛΙΑΣ,43,18,54,287,248.12114057116176,36,0,15,21,0,_2021_2022,CUP,6,12.30713057740789,26.584445929390807
112,1194,mexico-copa,PARTLY_FETCHED,,Кубок Мексики,ΚΥΠΕΛΛΟ ΜΕΞΙΚΟΥ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,CUP,29,0,0
113,770,portugal-segunda-liga,PARTLY_FETCHED,,Чемпионат Португалии. Второй дивизион,Β ΠΟΡΤΟΓΑΛΙΑΣ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,2246,0,0
114,1353,nations-league,PARTLY_FETCHED,,Лига Наций УЕФА,UEFA NATIONS LEAGUE,1000,0,0,0,0,0,0,0,0,0,_2021_2022,INTERNATIONAL,2929,0,0
115,338,spain-laliga,PARTLY_FETCHED,"",Чемпионат Испании. Примера,ΙΣΠΑΝΙΑ - Α ΙΣΠΑΝΙΑΣ,34,259,509,326,329.5060198731377,242,5,96,141,8,_2021_2022,LEAGUE,4,102.26382164615082,101.19276018381466
116,98,greece-b,PARTLY_FETCHED,"",Чемпионат Греции. Лига 2,ΕΛΛΑΔΑ - ΣΟΥΠΕΡ ΛΙΓΚ 2,4,312,981,840,186.5364207362383,634,8,328,298,35,_2021_2022,LEAGUE,14091,150.44838253071265,388.4157451709441
